,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo do responsável:,Idade do responsável:,Sexo da criança:,Idade da criança:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
63,Caio Morcelli,13/01/15 10:17 AM,4,Masculino,24,Feminino,9,2,1,1,0,0,0,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
64,Angelica Manfroi,13/01/15 12:49 PM,021,Feminino,30,Feminino,2,1,1,1,1,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
65,Angelica Manfroi,13/01/15 01:31 PM,022,Masculino,42,Feminino,2,2,1,1,1,0,1,1,1,4 ou +,Ginasial completo / Colegial incompleto (Fundamental completo) 
66,Angelica Manfroi,13/01/15 01:54 PM,023,Feminino,29,Masculino,2,1,0,1,1,0,1,0,1,1,Colegial completo / Superior incompleto (Médio completo)
67,Angelica Manfroi,13/01/15 02:22 PM,024,Feminino,19,Feminino,3,1,1,1,0,0,0,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
68,Angelica Manfroi,13/01/15 02:39 PM,025,Feminino,32,Masculino,4,2,0,2,1,0,1,0,1,1,Superior completo (Superior completo)
69,Angelica Manfroi,14/01/15 10:10 AM,026,Feminino,39,Feminino,8,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
70,Angelica Manfroi,14/01/15 10:33 AM,027,Feminino,32,Masculino,3,1,1,1,0,0,0,1,1,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
71,Angelica Manfroi,14/01/15 10:58 AM,028,Feminino,75,Feminino,10,3,1,1,0,0,0,1,1,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
72,Angelica Manfroi,14/01/15 11:19 AM,029,Feminino,23,Feminino,6,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
73,Angelica Manfroi,14/01/15 11:38 AM,030,Masculino,41,Masculino,5,2,1,1,1,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
74,Angelica Manfroi,14/01/15 02:00 PM,031,Feminino,35,Feminino,4,2,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
75,Caio Morcelli,14/01/15 02:09 PM,05,Feminino,30,Masculino,0,1,0,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
76,Caio Morcelli,14/01/15 02:33 PM,6,Feminino,20,Masculino,2,2,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
77,Angelica Manfroi,14/01/15 02:38 PM,032,Feminino,21,Masculino,2,1,0,1,2,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
78,Angelica Manfroi,14/01/15 02:59 PM,033,Feminino,36,Feminino,11,2,0,1,0,0,0,0,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
79,Caio Morcelli,14/01/15 03:01 PM,7,Feminino,32,Feminino,1,1,0,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
80,Angelica Manfroi,14/01/15 03:14 PM,034,Feminino,33,Feminino,5,1,0,1,0,0,1,1,1,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
81,Caio Morcelli,14/01/15 03:17 PM,8,Feminino,38,Feminino,8,3,2,2,2,0,1,1,2,0,Colegial completo / Superior incompleto (Médio completo)
82,Caio Morcelli,14/01/15 03:34 PM,9,Feminino,58,Feminino,1,3,2,1,0,0,2,2,2,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
83,Angelica Manfroi,14/01/15 03:46 PM,035,Feminino,23,Feminino,1,2,1,1,1,0,1,3,2,0,Superior completo (Superior completo)
84,Anna Carolina Alves,16/01/15 10:47 AM,18,Feminino,22,Feminino,5,1,0,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
85,Jacqueline Maximiano Conceicao,16/01/15 10:49 AM,22,Feminino,34,Masculino,1,2,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
86,Anna Carolina Alves,16/01/15 11:02 AM,19,Feminino,34,Masculino,1,4 ou +,2,3,1,0,1,1,2,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
87,Jacqueline Maximiano Conceicao,16/01/15 11:03 AM,23,Feminino,28,Masculino,0,3,1,2,0,0,0,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
88,Jacqueline Maximiano Conceicao,16/01/15 11:12 AM,24,Feminino,28,Feminino,3,3,1,1,0,0,0,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
89,Anna Carolina Alves,16/01/15 11:26 AM,20,Feminino,32,Feminino,1,2,1,1,3,1,1,1,1,0,Superior completo (Superior completo)
90,Jacqueline Maximiano Conceicao,16/01/15 11:41 AM,25,Feminino,39,Masculino,12,1,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
91,Anna Carolina Alves,16/01/15 11:42 AM,21,Feminino,38,Masculino,3,2,1,2,1,0,1,1,1,0,Superior completo (Superior completo)
92,Jacqueline Maximiano Conceicao,16/01/15 11:52 AM,26,Feminino,32,Masculino,3,1,1,1,1,0,1,1,1,0,Superior completo (Superior completo)
93,Anna Carolina Alves,16/01/15 12:05 PM,22,Feminino,24,Feminino,9,0,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
94,Jacqueline Maximiano Conceicao,19/01/15 09:50 AM,27,Feminino,31,Masculino,2,1,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
95,Jacqueline Maximiano Conceicao,19/01/15 10:03 AM,28,Feminino,37,Feminino,12,1,1,1,0,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
96,Jacqueline Maximiano Conceicao,19/01/15 10:11 AM,29,Feminino,37,Masculino,6,1,1,1,1,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
97,Jacqueline Maximiano Conceicao,19/01/15 10:21 AM,30,Feminino,17,Masculino,2,1,1,1,0,0,0,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
98,Jacqueline Maximiano Conceicao,19/01/15 10:47 AM,31,Feminino,30,Feminino,5,1,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
99,Jacqueline Maximiano Conceicao,19/01/15 11:09 AM,32,Feminino,25,Feminino,5,1,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
100,Jacqueline Maximiano Conceicao,19/01/15 11:21 AM,33,Feminino,29,Feminino,4,1,1,1,2,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
101,Jacqueline Maximiano Conceicao,19/01/15 11:36 AM,34,Masculino,30,Masculino,2,1,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
102,Jacqueline Maximiano Conceicao,19/01/15 12:05 PM,35,Feminino,19,Feminino,1,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
103,Jacqueline Maximiano Conceicao,19/01/15 12:23 PM,36,Feminino,21,Masculino,0,1,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
104,Caio Morcelli,19/01/15 01:18 PM,10,Feminino,19,Feminino,4,1,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
105,Caio Morcelli,19/01/15 01:40 PM,11,Feminino,26,Masculino,6,2,0,1,0,0,0,1,1,0,Superior completo (Superior completo)
106,Caio Morcelli,19/01/15 02:14 PM,12,Feminino,44,Masculino,2,1,0,1,0,0,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
107,Caio Morcelli,19/01/15 03:16 PM,13,Feminino,25,Feminino,2,1,1,1,0,0,1,0,1,1,Colegial completo / Superior incompleto (Médio completo)
108,Caio Morcelli,19/01/15 04:05 PM,14,Feminino,39,Feminino,1,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
109,Jacqueline Maximiano Conceicao,20/01/15 10:45 AM,37,Feminino,38,Masculino,5,1,1,1,0,0,0,0,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
110,Jacqueline Maximiano Conceicao,20/01/15 10:53 AM,38,Feminino,33,Feminino,2,1,1,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
111,Jacqueline Maximiano Conceicao,20/01/15 11:04 AM,39,Feminino,32,Masculino,1,1,1,1,1,0,1,1,1,0,Superior completo (Superior completo)
112,Jacqueline Maximiano Conceicao,20/01/15 11:20 AM,40,Feminino,19,Masculino,2,1,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
113,Jacqueline Maximiano Conceicao,20/01/15 11:35 AM,41,Feminino,20,Feminino,0,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
114,Jacqueline Maximiano Conceicao,20/01/15 11:44 AM,42,Feminino,22,Masculino,1,1,1,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
115,Jacqueline Maximiano Conceicao,20/01/15 11:56 AM,43,Feminino,37,Feminino,0,1,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
116,Jacqueline Maximiano Conceicao,20/01/15 12:14 PM,44,Feminino,34,Masculino,4,2,0,1,0,0,1,0,1,1,Ginasial completo / Colegial incompleto (Fundamental completo) 
117,Jacqueline Maximiano Conceicao,20/01/15 12:31 PM,45,Feminino,26,Masculino,0,1,0,2,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
118,Jacqueline Maximiano Conceicao,20/01/15 12:53 PM,46,Feminino,20,Feminino,2,1,1,0,0,0,0,0,1,0,Colegial completo / Superior incompleto (Médio completo)
119,Caio Morcelli,20/01/15 01:53 PM,15,Feminino,27,Feminino,6,1,0,1,1,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
120,Caio Morcelli,20/01/15 02:13 PM,16,Feminino,30,Masculino,6,2,1,1,1,0,1,1,1,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
121,Caio Morcelli,20/01/15 02:28 PM,17,Feminino,20,Masculino,1,2,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
122,Caio Morcelli,20/01/15 02:55 PM,18,Feminino,25,Feminino,7,1,1,1,0,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
123,Caio Morcelli,20/01/15 03:26 PM,19,Feminino,58,Feminino,8,1,1,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
124,Caio Morcelli,20/01/15 03:53 PM,20,Feminino,39,Masculino,8,2,1,1,0,1,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
125,Caio Morcelli,20/01/15 04:10 PM,21,Feminino,19,Masculino,0,3,1,1,0,0,1,3,1,0,Colegial completo / Superior incompleto (Médio completo)
126,Anna Carolina Alves,21/01/15 09:59 AM,23,Feminino,27,Feminino,1,2,2,1,1,0,1,2,1,0,Colegial completo / Superior incompleto (Médio completo)
127,Anna Carolina Alves,21/01/15 10:10 AM,24,Feminino,28,Masculino,7,2,0,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
128,Anna Carolina Alves,21/01/15 10:26 AM,25,Feminino,35,Masculino,6,2,0,3,0,0,0,1,2,0,Colegial completo / Superior incompleto (Médio completo)
129,Anna Carolina Alves,21/01/15 10:54 AM,26,Feminino,32,Feminino,1,3,1,2,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
130,Anna Carolina Alves,21/01/15 11:06 AM,27,Feminino,27,Masculino,3,2,0,1,1,1,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
