,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo do responsável:,Idade do responsável:,Sexo da criança:,Idade da criança:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
175,Caio Morcelli,26/01/15 04:31 PM,36,Feminino,37,Feminino,5,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
176,Caio Morcelli,26/01/15 04:51 PM,37,Feminino,29,Feminino,1,1,1,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
177,Caio Morcelli,26/01/15 05:08 PM,38,Feminino,32,Feminino,5,1,0,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
178,Angelica Manfroi,27/01/15 08:53 AM,049,Feminino,18,Masculino,0,2,1,1,0,0,0,1,1,0,Colegial completo / Superior incompleto (Médio completo)
179,Angelica Manfroi,27/01/15 09:17 AM,050,Feminino,29,Masculino,0,3,0,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
180,Angelica Manfroi,27/01/15 09:40 AM,051,Feminino,33,Masculino,9,3,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
181,Angelica Manfroi,27/01/15 09:59 AM,052,Feminino,53,Feminino,1,3,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
182,Caio Morcelli,28/01/15 03:07 PM,39,Masculino,27,Feminino,4,2,3,1,1,0,2,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
183,Caio Morcelli,28/01/15 03:22 PM,40,Feminino,38,Feminino,9,1,0,1,0,0,0,0,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
184,Anna Carolina Alves,29/01/15 11:54 AM,37,Feminino,51,Feminino,6,2,1,2,2,0,2,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
185,Anna Carolina Alves,29/01/15 12:10 PM,38,Feminino,25,Masculino,3,1,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
186,Anna Carolina Alves,29/01/15 12:25 PM,39,Feminino,19,Masculino,3,2,1,1,0,0,1,2,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
187,Anna Carolina Alves,29/01/15 12:41 PM,40,Feminino,20,Feminino,1,2,1,2,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
188,Anna Carolina Alves,29/01/15 01:00 PM,41,Feminino,23,Masculino,4,2,0,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
189,Caio Morcelli,29/01/15 01:13 PM,41,Feminino,36,Masculino,3,1,0,1,1,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
190,Caio Morcelli,29/01/15 01:30 PM,42,Feminino,18,Feminino,2,2,0,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
191,Caio Morcelli,29/01/15 02:00 PM,43,Feminino,16,Masculino,4,4 ou +,1,1,1,0,1,1,1,1,Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) 
192,Caio Morcelli,29/01/15 02:59 PM,44,Feminino,40,Feminino,6,2,0,2,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
193,Caio Morcelli,29/01/15 03:19 PM,45,Feminino,18,Feminino,3,1,0,1,0,0,0,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
194,Caio Morcelli,29/01/15 03:34 PM,46,Feminino,29,Feminino,2,1,0,1,1,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
195,Caio Morcelli,29/01/15 03:54 PM,47,Masculino,25,Feminino,1,1,0,1,1,0,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
196,Caio Morcelli,29/01/15 04:30 PM,48,Feminino,25,Feminino,4,3,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
197,Jacqueline Maximiano Conceicao,30/01/15 10:02 AM,65,Feminino,34,Feminino,3,1,1,1,1,0,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
198,Anna Carolina Alves,30/01/15 10:08 AM,42,Feminino,40,Masculino,7,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
199,Caio Morcelli,30/01/15 10:11 AM,49,Feminino,55,Masculino,3,2,0,1,0,0,1,2,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
200,Anna Carolina Alves,30/01/15 10:26 AM,43,Feminino,28,Feminino,1,1,0,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
201,Caio Morcelli,30/01/15 10:28 AM,50,Feminino,31,Masculino,5,1,0,1,0,0,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
202,Anna Carolina Alves,30/01/15 10:40 AM,44,Feminino,36,Masculino,4,3,0,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
203,Caio Morcelli,30/01/15 10:45 AM,51,Feminino,50,Feminino,0,2,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
204,Anna Carolina Alves,30/01/15 10:56 AM,45,Feminino,27,Masculino,2,2,1,1,1,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
205,Caio Morcelli,30/01/15 11:06 AM,52,Feminino,20,Masculino,2,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
206,Anna Carolina Alves,30/01/15 11:10 AM,46,Feminino,41,Feminino,6,2,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
207,Anna Carolina Alves,30/01/15 11:41 AM,47,Masculino,41,Masculino,2,1,1,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
208,Anna Carolina Alves,30/01/15 12:06 PM,48,Feminino,31,Masculino,7,1,1,2,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
209,Anna Carolina Alves,30/01/15 12:18 PM,49,Feminino,24,Feminino,4,2,1,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
210,Anna Carolina Alves,30/01/15 12:40 PM,50,Feminino,46,Masculino,3,0,0,1,1,0,1,0,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
211,Anna Carolina Alves,30/01/15 12:56 PM,51,Feminino,32,Masculino,9,1,2,1,1,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
212,Anna Carolina Alves,30/01/15 01:10 PM,52,Feminino,30,Feminino,5,1,0,1,0,0,0,1,0,0,Colegial completo / Superior incompleto (Médio completo)
213,Anna Carolina Alves,30/01/15 01:25 PM,53,Feminino,38,Feminino,1,2,2,2,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
214,Anna Carolina Alves,30/01/15 01:41 PM,54,Feminino,26,Feminino,1,4 ou +,1,1,0,0,1,3,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
215,Anna Carolina Alves,30/01/15 02:10 PM,54,Feminino,28,Feminino,1,1,0,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
