,Entrevistador:,Data de Preenchimento:,Localização do produto.,Qual nome do produto?,Qual o preço do produto?,Tire uma foto do produto.
1,Bruno Santos,01/02/14 06:56 PM,-23.1688472;-45.84309223333333,lumia 520,499.90,http://maritaca.unifesp.br/hadoop_mounted/user/maritaca//picture/nzqlvQjFre/qLQx8bA0q1-3.jpeg
2,Bruno Santos,01/02/14 07:06 PM,-23.2129892;-45.8854813,Portal 2 PS3,200.00,http://maritaca.unifesp.br/hadoop_mounted/user/maritaca//picture/nzqlvQjFre/c1FVxNW6rI-3.jpeg
3,Bruno Santos,01/02/14 07:25 PM,-23.1615472;-45.8987874,Dicionario Larousse,30.00,http://maritaca.unifesp.br/hadoop_mounted/user/maritaca//picture/nzqlvQjFre/MngwnKA5mI-3.jpeg
4,Bruno Santos,02/02/14 10:36 PM,-21.8598997;-47.4837665,Biblia infantil,75.00,http://maritaca.unifesp.br/hadoop_mounted/user/maritaca//picture/nzqlvQjFre/kboPyMAR2x-3.jpeg
